ScoreSheetUrl,APN,Status,ParcelNickname,IPESScore,IPESType,BaseAllowableCoveragePercent,IPESTotalAllowableCoverageSqFt,ParcelHasDOAC,HistoricOrImportedIpesScore,CalculationDate,FieldEvaluationDate,RelativeErosionHazardScore,RunoffPotentialScore,AccessScore,UtilityInSEZScore,ConditionOfWatershedScore,AbilityToRevegetateScore,WaterQualityImprovementsScore,ProximityToLakeScore,LimitedIncentivePoints,TotalParcelArea,IPESBuildingSiteArea,SEZLandArea,SEZSetbackArea,InternalNotes,PublicNotes
https://parcels.laketahoeinfo.org/IpesScore/Detail/5546,033-631-012,Active,,739,Official,24%,4299,Unknown,Yes,12/19/2016 0:00,,248,200,158,10,36,25,12,50,0,,17911,0,600,"Access located and scored off of Glen Eagles Dr. DOAC yields ""similar and contiguous"" determination therefore extending score of 739 @ 24% to remaining 3,391 sq. ft. of parcel. Parcel area recalculated off of newly submitted site plan by RLS. TH, 9/6/03.",
https://parcels.laketahoeinfo.org/IpesScore/Detail/5547,033-631-012,Active,,721,Information Only,24%,,Unknown,Yes,1/24/2003 0:00,,248,200,110,40,36,25,12,50,0,,18300,0,600,If access is located off Hepka Dr. thus re-evaluated and scored from bottom of parcel.,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5548,033-631-014,Active,,543,Inactive,19%,,Unknown,Yes,12/19/2016 16:38,,205,200,5,10,36,25,12,50,0,,17700,0,1000,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/24929,033-631-014,Active,,718,Official,19%,3357,Yes,No,8/20/2024 12:54,,205,200,80,110,36,25,12,50,0,17670,17670,0,0,,Determination of allowable coverage completed 8/20/24
https://parcels.laketahoeinfo.org/IpesScore/Detail/5549,033-631-015,Active,,740,Official,23%,,Unknown,Yes,12/19/2016 16:38,,221,200,86,110,36,25,12,50,0,,15300,0,500,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5550,033-631-016,Active,,870,Official,29%,,Unknown,Yes,12/19/2016 16:38,,339,200,98,110,36,25,12,50,0,,10600,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5551,033-631-019,Active,,978,Official,30%,,Unknown,Yes,12/19/2016 16:38,,385,200,170,110,36,25,12,50,0,,8400,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5553,033-631-023,Active,,966,Official,30%,,Unknown,Yes,12/19/2016 16:38,,383,200,160,110,36,25,12,50,0,,8400,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5554,033-631-025,Active,,1002,Official,30%,,Unknown,Yes,12/19/2016 16:38,,409,200,170,110,36,25,12,50,0,,8400,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5555,033-631-028,Active,,994,Official,30%,,Unknown,Yes,12/19/2016 16:38,9/4/2014 11:21,401,200,170,110,36,25,12,50,0,,8771,0,0,"former APN 033-631-22  HB.  Former score 1003 and 30% coverage based on parcel size of 10,400.  New parcel size 8771",
https://parcels.laketahoeinfo.org/IpesScore/Detail/5552,033-631-22,Inactive,,1003,Official,30%,,Unknown,Yes,12/31/1990 0:00,,400,200,170,110,36,25,12,50,0,,10400,0,0,Thru BLA new APN 033-631-28.  See file for details.  IPES score assigned to new parcel. HB,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5556,033-632-001,Active,,783,Official,0%,,Unknown,Yes,12/19/2016 16:38,,379,22,170,110,36,20,12,50,0,,7800,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5557,033-632-002,Active,,783,Official,18%,,Unknown,Yes,12/19/2016 16:38,,379,22,170,110,36,20,12,50,0,,7800,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5558,033-632-009,Active,,996,Official,30%,,Unknown,Yes,12/19/2016 16:38,,385,200,150,110,36,25,50,50,0,,8700,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5559,033-632-011,Active,,973,Official,30%,,Unknown,Yes,12/19/2016 16:38,,372,200,140,110,36,25,50,50,0,,8700,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5560,033-632-013,Active,,783,Official,18%,,Unknown,Yes,12/19/2016 16:38,,379,22,170,110,36,20,12,50,0,,7900,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5561,033-641-001,Active,,702,Official,1%,,Unknown,Yes,12/19/2016 16:38,,217,44,170,110,36,25,50,50,0,,9100,0,0,,
